number	title	artist	lyrics
06549	SÃO PAULO	365	Tem dias que eu digo não invento no meu
19807	MORE THAN THIS	10000 Maniacs	I could feel at the time
04920	I'M NOT IN LOVE	10cc	I'm not in love so don't forget it
01039	BOLA DE MEIA BOLA DE GUDE	14 Bis	Há um menino há um moleque
03755	LINDA JUVENTUDE	14 Bis	Zabelê, zumbi, besouro vespa fabricando
07392	NATURAL	14 Bis	Penso em você no seu jeito de
06074	PLANETA SONHO	14 Bis	Aqui ninguém mais ficará de...
07693	ROMANCE	14 Bis	Flores simples enfeitando a mesa do café
06197	TODO AZUL DO MAR	14 Bis	Foi assim como ver o mar a ...
09556	UMA VELHA CANÇÃO ROCK'N'ROLL	14 Bis	Olhe oh oh oh venha solte seu corpo no mundo
09033	HERE WITHOUT YOU	3 Doors Down	A hundred days had made me older
20379	THE KILL (BURY ME)	30 Seconds To Mars	What if I wanted to break
02578	SPACEMAN	4 Non Blondes	Starry night bring me down
09072	WHAT'S UP	4 Non Blondes	Twenty-five years and my life is still
15225	EM PAZ	5 a Seco - Maria Gadú	Caiu do céu se revelou anjo da noite e das manhãs
19852	SHE LOOKS SO PERFECT	5 Seconds Of Summer	He-ey e-hey... Simmer down simmer down
09092	AQUARIUS	5th Dimension (The)	When the moon is in the seventh house and
15450	CANÇÃO PRA NÃO VOLTAR	A Banda Mais Bonita da Cidade	Não volte pra casa meu amor que aqui é
02748	ORAÇÃO	A Banda Mais Bonita da Cidade	Meu amor essa é a última oração
06402	ABRI A PORTA	A Cor do Som	Abri a porta apareci a mais bonita sorriu pra
07175	MENINO DEUS	A Cor do Som	Menino Deus um corpo azul-dourado
15200	VIVA	A Cor do Som	Viva a alegria e viva o prazer
07480	ZANZIBAR	A Cor do Som	No azul de Jezebel no céu de Calcutá
04938	MAMMA MIA	A Teens	I've being cheated by you since I don't
04970	SUPER TROUPER	A Teens	Super trouper beams are gonna blind me
07548	SER CRIANCA É BOM	A Turma da Mônica	Ser criança é bom ser criança ...
05608	ESTAMOS AQUI	A Vigília	Estamos aqui Na casa de Deus
05614	JEOVÁ É O TEU CAVALEIRO	A Vigília	Jeová é o teu cavaleiro que cavalga
05617	JESUS TE ENTRONIZAMOS	A Vigília	\"Jesus nesta noite construímos
05636	RENOVA-ME	A Vigília	Renova-me Senhor Jesus já não quero s
09574	A COR DA ESPERANÇA	A Zorra	Sei está nos seus olhos é só olhar está
04877	CHIQUITITA	Abba	Chiquitita tell me what's wrong you're
04574	DANCING QUEEN	Abba	Yeh! you can dance you can jive
20411	DON`T SHUT ME DOWN	Abba	A while ago I heard the sound of children`s
19333	FERNANDO	Abba	Can you hear the drums Fernando
09116	I HAVE A DREAM	Abba	I have a dream a song to sing
19768	KNOWING ME KNOWING YOU	Abba	No more carefree laughter
20455	LAY ALL YOUR LOVE ON ME	Abba	I wasn´t jealous before we met
02533	MAMMA MIA	Abba	I've been cheated by you since I don't
04787	THE WINNER TAKES IT ALL	Abba	I don't wanna talk
01804	AS CRIANÇAS E OS ANIMAIS	Abelhudos	Ê ô ê ô...P de pato G de ...
15049	CORAÇÃO INDECISO	Abílio Farias	Um coração indeciso busquei no céu um
15130	O GENRO ODIADO	Abílio Farias	Desculpa mulher resolvi mil desculpas pedir
01790	VOU FECHAR O CABARÉ	Abílio Farias	Esperei tanto que cerveja ....
06355	SÓ A LUA	Absyntho	Lembro que ela disse meio triste
05870	BACK IN BLACK	AC-DC	Back in black I hit the sack I've been too long
19696	FOR THOSE ABOUT TO ROCK (WE SALUTE YOU)	AC-DC	We roll tonight to the guitar bite
02606	HIGHWAY TO HELL	AC-DC	Livin' easy lovin' free
20370	YOU SHOOK ME ALL NIGHT LONG	AC-DC	She was a fast machine she kept her motor
04857	ALL THAT SHE WANTS	Ace of Base	She leads a lonely life mmm she leads a
19687	BEAUTIFUL LIFE	Ace of Base	You can do what you want just seize the day
19568	DON'T TURN AROUND	Ace of Base	Don't tell me that you wanna leave
09221	HAPPY NATION	Ace of Base	Laudate omnes gentes laudate
19795	THE SIGN	Ace of Base	I I got a new life
01710	QUE SE DANE O MUNDO	Adair Cardoso	E que se dane o mundo e que se dane
03726	SEPARAÇÃO	Adalberto e Adriano	Qual terá sido o motivo da nossa separação
20091	ALL I ASK	Adele	I will leave my heart at the door
02603	CHASING PAVEMENTS	Adele	I've made up my mind
20253	COLD SHOULDER	Adele	You say it s all in my head
20436	EASY ON ME	Adele	There ain´t no gold in this river
19362	HELLO	Adele	Hello it's me ...
19741	MAKE YOU FEEL MY LOVE	Adele	When the rain is blowing in your face
19534	ONE AND ONLY	Adele	You've been on my mind
02569	ROLLING IN THE DEEP	Adele	There's a fire starting in my heart
19493	SEND MY LOVE (TO YOUR NEW LOVER)	Adele	This was all you none of it me put your hands all
02627	SET FIRE TO THE RAIN	Adele	I let it fall my heart and as I fell
19068	SKYFALL	Adele	This is the end hold your breath and count
02600	SOMEONE LIKE YOU	Adele	I heard that you're settled down
20039	TURNING TABLES	Adele	Close enough to start a war
19678	WATER UNDER THE BRIDGE	Adele	If you're not the one for me
19404	WHEN WE WERE YOUNG	Adele	Everybody loves the things you...
02986	NOSSO GENERAL	Adhemar de Campos (Comunidade da Graça)	Pelo Senhor marchamos sim o Seu
06982	SONHAR CONTIGO	Adílson Ramos	Sonhar contigo por toda vida
16322	APAGA O FOGO MANÉ	Adoniran Barbosa	Inez saiu dizendo que ia comprar um pavio
07062	AS MARIPOSAS	Adoniran Barbosa	As mariposa quando chega o ...
07782	FAZ CHOVER	Adoração e Adoradores	Assim como a corsa anseia por águas
07887	VIM PARA ADORAR-TE	Adoração e Adoradores	Luz do mundo vieste à terra pra que eu
19726	CLASSIC	Adrian Gurvitz	Got to write a classic
09466	I LOVE YOU BABY	Adriana	Difícil é viver sem teu amor eu era tão feliz
01581	CANÇÃO DE NOVELA	Adriana Calcanhoto	Toalha molhada lâmpada acesa cidade
06126	DEVOLVA-ME	Adriana Calcanhoto	Rasgue as minhas cartas e ...
16605	ERA PRA SER	Adriana Calcanhoto	Era pra ser cancao de amor
09450	ESQUADROS	Adriana Calcanhoto	Eu ando pelo mundo prestando atenção
06822	FICO ASSIM SEM VOCÊ	Adriana Calcanhoto	Avião sem asa fogueira sem ...
06573	JUSTO AGORA	Adriana Calcanhoto	Eu ouvi dizer que você assim
01297	MARESIA	Adriana Calcanhoto	Meu amor me deixou levou minha
02798	METADE	Adriana Calcanhoto	Eu perco o chão eu não acho ...
09846	MULHER SEM RAZÃO	Adriana Calcanhoto	Saia dessa vida de migalhas desses homens
07648	NAQUELA ESTAÇÃO	Adriana Calcanhoto	Você entrou no trem e eu na estação vendo
07661	OUTRA VEZ	Adriana Calcanhoto	Outra vez sem você outra vez sem amor
07668	PELOS ARES	Adriana Calcanhoto	Não lhe peço nada mas se acaso você
01119	SEU PENSAMENTO	Adriana Calcanhoto	A uma hora dessas por onde estará seu
04138	VAMBORA	Adriana Calcanhoto	Entre por essa porta agora
02408	AMOR PERFEITO	Adriana Marques	O vento sopra e leva a solidão...
06121	AMOR PRA VALER	Adryana e a Rapaziada	Já faz tanto tempo não consigo esquecer
06294	EU TE AMO (AND I LOVE HER)	Adryana e a Rapaziada	Foi tanto que eu te amei e não
06257	FIM DE NOITE	Adryana e a Rapaziada	Você nunca vai me ver sofrer não consegue me
04458	SÓ FALTAVA VOCÊ	Adryana e a Rapaziada	Só faltava você pra completar
06035	TUDO PASSA	Adryana e a Rapaziada	Tudo na vida passa Tudo na ...
03789	E AGORA?	Adryana Ribeiro	E agora como é que eu vou ficar
01490	SAUDADE VEM	Adryana Ribeiro	O que é que você foi fazer ...
03390	SEMPRE SOU EU	Adryana Ribeiro-Luiz Carlos	É... mais uma vez estou chorando
04678	AMAZING	Aerosmith	I get the right ones out the wrong ones in had
19538	ANGEL	Aerosmith	I´m alone yeah I don´t know if
04879	CRAZY	Aerosmith	Come here baby You know you drive me up
19165	CRYIN'	Aerosmith	There was a time when I was so brokenhearted
19172	DREAM ON	Aerosmith	Every time that I look in the mirror
20394	FALLING IN LOVE (IS HARD ON THE KNEES)	Aerosmith	You´re so bad... You think you´re in love
04909	I DON'T WANT TO MISS A THING	Aerosmith	I could stay awake just to hear you
19658	JADED	Aerosmith	Hey j-j-jaded you got your mama's style
19505	JANIE'S GOT A GUN	Aerosmith	Dum dum dum honey what have you done
19876	LIVIN ON THE EDGE	Aerosmith	Theres somethin wrong with the world today
19625	PINK	Aerosmith	Pink it's my new obsession
20430	WHAT IT TAKES	Aerosmith	There goes my old girlfriend
07621	JA É	Afrodisíaco	Ôh ôh ôh... Incendeia ôh ôh... Clareia
01434	O QUE QUE ELA TEM QUE EU NÃO TENHO	Afrodite se Quiser	Não adianta por mais que eu tente
07328	DE AMOR É BOM	Agepê	Um lindo canto com um gosto de viver
07332	DE TODAS AS FORMAS	Agepê	Me dê a posse do teu corpo ...
06454	DEIXA EU TE AMAR	Agepê	Quero ir na fonte do teu ser e banhar
01455	LÁ VEM O TREM	Agepê	Lá vem o trem no passo que o vento vem
07381	ME LEVA	Agepê	Tudo nasceu de brincadeira ...
06938	MENINA DE CABELOS LONGOS	Agepê	Ê ê ê... menina de cabelos ...
03883	MOÇA CRIANÇA	Agepê	O seu andar tem jeito de moça...
03848	MORO ONDE NÃO MORA NINGUÉM	Agepê	Moro, onde não mora ninguém
01535	NINGUÉM FAZ AMOR COMO VOCÊ	Agepê	Se eu perdi a hora não se zangue comigo
15178	MÁQUINA DO TEMPO	Aggeu Marques	Finjo não saber que o tempo passa logo
03737	A PRAIA	Agnaldo Rayol	Em plena praia no céu azul ...
15521	ACORRENTADOS (ENCADENADOS)	Agnaldo Rayol	Talvez fosse melhor se não ...
03739	AMIGOS PARA SEMPRE	Agnaldo Rayol	Eu não tenho nada pra dizer
06362	AVE MARIA NO MORRO	Agnaldo Rayol	Barracão de zinco sem telhado sem pintura
15853	NÃO VOLTO MAIS	Agnaldo Rayol	Se você quiser saber amor vou cuidar de mim
06303	O PRINCÍPIO E O FIM	Agnaldo Rayol	A minha vida em carinhos darei por toda uma
07031	SANTA LUCIA	Agnaldo Rayol	Sul mare luccica l'astro d'argento
07036	TORMENTO D'AMORE	Agnaldo Rayol-Charlotte Church	Martirio tormento d'amore
07282	A CASA DE IRENE	Agnaldo Timóteo	Os dias tristes são como longa rua
07283	A CASA DO SOL NASCENTE	Agnaldo Timóteo	A casa dos meus sonhos é feita de ilusão
07287	A GALERIA DO AMOR	Agnaldo Timóteo	Numa noite de insônia saí procurando emoções
06884	A NOIVA	Agnaldo Timóteo	Ave Maria... Branca e radiante vai a noiva
17146	ETIQUETAS	Agnaldo Timóteo	Vem me faz feliz por um momento apenas
07166	LIVRE	Agnaldo Timóteo	Livre... Livre nasci como a brisa que as praias
01688	MAMÃE ESTOU TÃO FELIZ	Agnaldo Timóteo	Mamãe estou tão feliz porque voltei
04399	MEU GRITO	Agnaldo Timóteo	Se eu demoro mais aqui eu vou morrer
06947	NÃO MEREÇO VOCÊ	Agnaldo Timóteo	Não mereço você sei que vou me afasta
06959	OS BRUTOS TAMBÉM AMAM	Agnaldo Timóteo	Você jamais vai entender o amor que e
06503	OS VERDES CAMPOS DA MINHA TERRA	Agnaldo Timóteo	Se algum dia à minha terra eu voltar
04370	QUEM É	Agnaldo Timóteo	Quem é que não sofre por alguém
15621	QUEM SERÁ?	Agnaldo Timóteo	Amor só se dá se amor se ganha também
01150	PODIA SER	Agnela	Não sei porque você não quis ligar
04221	A FELICIDADE	Agostinho dos Santos	Tristeza não tem fim felicidade
07301	AQUELES OLHOS VERDES	Agostinho dos Santos	Aqueles olhos verdes translúcidos...
09695	MANHÃ DE CARNAVAL	Agostinho dos Santos	Manhã tão bonita manhã na vida uma nova
15202	130 ANOS	Agridoce (Pitty)	Caro é transformar-se num arremendo de si próprio
02792	DANÇANDO	Agridoce (Pitty)	Eu sei que lá no fundo ...
20094	CRYING IN THE RAIN	A-Ha	Ill never let you see
19213	HUNTING HIGH AND LOW	A-Ha	Here I am and within the reach
04973	TAKE ON ME	A-Ha	We're talking away
20034	THERES NEVER A FOREVER THING	A-Ha	Dearest close your eyes now
20508	TOUCHY!	A-Ha	Donna found us in her slow and dreamy way
19400	YOU ARE THE ONE	A-Ha	You are the one who has done me in
09243	ALL OUT OF LOVE	Air Supply	I'm lying alone with my bed on the phone
09105	EVEN THE NIGHTS ARE BETTER	Air Supply	I I was the lonely one wondering what went
19433	GOODBYE	Air Supply	I can see the pain living in your eyes
05911	HERE I AM	Air Supply	Here I am playing with those memories again
19965	I CAN WAIT FOREVER	Air Supply	When you say I miss the things
19769	LONELY IS THE NIGHT	Air Supply	Really thought that I could live without you
04935	LOST IN LOVE	Air Supply	I realize the best part of love
19499	MAKING LOVE OUT OF NOTHING AT ALL	Air Supply	I know just how to whisper
09182	THE ONE THAT YOU LOVE	Air Supply	Now the night has gone
03563	EMACONHADA	Akundum	Kaya erva danada... É reggae sim se é reggae
05942	MORNIN'	Al Jarreau	Mornin' mister Radio
09193	WE'RE IN THIS LOVE TOGETHER	Al Jarreau	It's like a diamond ring it's a precious
04592	LOVE IS BLUE	Al Martino	Blue blue my world is blue
04806	YEAR OF THE CAT	Al Stewart	On a morning from a Bogart movie
16652	DOIS PASSARINHOS	Alan e Aladim	No instante em que voce me beija
16394	LIGUEI PRA DIZER QUE TE AMO	Alan e Aladim	Ja e tarde e quase madrugada
09026	EVERYTHING I LOVE	Alan Jackson	Coffee keeps me up and I can't sleep
09036	I'LL TRY	Alan Jackson	Here we are talkin' bout forever
09041	LIVIN' ON LOVE	Alan Jackson	Two young people without a thing
09139	MIDNIGHT IN MONTGOMERY	Alan Jackson	Midnight in Montgomery silver eagle lonely
04888	EYE IN THE SKY	Alan Parson's Project (The)	Don't think sorry's easily said
09187	TIME	Alan Parson's Project (The)	Time flowin' like a river
19984	FADED	Alan Walker	You were the shadow to my
20453	EVERYTHING	Alanis Morissette	I can be na asshole of the grandest kind
19100	HAND IN MY POCKET	Alanis Morissette	I'm broke but I'm happy I'm...
20421	HANDS CLEAN	Alanis Morissette	If it weren`t for your maturity none of this would
04922	IRONIC	Alanis Morissette	Hey yeah... An old man turned ninety eight
19902	OFFER	Alanis Morissette	Who who am I to be blue
19147	THANK U	Alanis Morissette	How 'bout getting off of these...
02570	THAT I WOULD BE GOOD	Alanis Morissette	That I would be good even if I did not
19354	UNINVITED	Alanis Morissette	Like anyone would be I am flattered by you
04997	YOU LEARN	Alanis Morissette	Oooh, oooh-do, do.... I recommend getting
04850	YOU OUGHTA KNOW	Alanis Morissette	I want you to know that I'm happy for
02602	BLACK VELVET	Alannah Myles	Mississippi in the middle of the dry s
15607	Ê LÁ EM CASA	Alavontê	Ela atravessa a rua e vem falar comigo mas
04626	FOR THE PEACE OF ALL MANKIND	Albert Hammond	You turn me on so bad that there was on
09128	IT NEVER RAINS IN SOUTHERN CALIFORNIA	Albert Hammond	Got on a board a west bound seven forty
03903	ANUNCIAÇÃO	Alceu Valença	Na bruma leve das paixões
06452	COMO DOIS ANIMAIS	Alceu Valença	Uma moça bonita de olhar agateado
04071	CORAÇÃO BOBO	Alceu Valença	Meu coração tá batendo
15223	DONA DE 7 COLINAS	Alceu Valença	Ela é dona de sete colinas debruçadas
16674	EU VOU FAZER VOCE VOAR	Alceu Valença	Eu vou fazer voce voar
16854	GIRASSOL	Alceu Valença	Mar e Sol gira gira girassol
03880	LA BELLE DE JOUR	Alceu Valença	Ah! eh! ah! Eh... La belle de jour... Eu lembro
01120	SOLIDÃO	Alceu Valença	A solidão é fera a solidão ...
03277	TROPICANA (MORENA TROPICANA)	Alceu Valença	Da manga rosa quero o gosto e o sumo
06521	A LOBA	Alcione	Sou doce dengosa polida fiel como um cão
15022	A PAIXÃO TEM MEMÓRIA	Alcione	Lá vem você de novo procurar por mim
06246	ALÉM DA CAMA	Alcione	De amor eu não morro o que posso
16633	AMOR SURREAL	Alcione	Se ajoelha e me pede perdao
03060	DELÍRIO DO AMOR (CHAMEGO)	Alcione	Você acaba dando um jeito
01165	EU VOU PRA LAPA	Alcione	É ela a dama da noite
01604	FAZ UMA LOUCURA POR MIM	Alcione	Faz uma loucura por mim...
01979	GAROTO MAROTO	Alcione	Você faz de conta que quer meu
09282	MENINO SEM JUÍZO	Alcione	Sabe meu menino sem juízo eu já aprendi a te
06940	MEU ÉBANO	Alcione	É você é um negão de tirar o chapéu não posso
09286	MEU VÍCIO É VOCÊ	Alcione	Meu cigarro é o perfume do mato
16788	MULHER IDEAL	Alcione	Eu sou aquilo que sou
07186	NA HORA DA RAIVA	Alcione	Na hora da raiva eu lhe disse
02694	NÃO CHORE, NÃO	Alcione	Pra quê chorar a vida é mesmo assim
16274	NEM MORTA	Alcione	Eu só fico em teus braços porque não tenho
06626	O MUNDO É DE NÓS DOIS	Alcione	Esse nosso amor é a perfeição
01600	O QUE EU FAÇO AMANHÃ?	Alcione	De repente você vem dizer que
07201	O SURDO	Alcione	Amigo que ironia desta vida
09316	PIOR É QUE EU GOSTO	Alcione	De repente é mais uma vez
01795	QUALQUER DIA DESSES	Alcione	Qualquer dia desses que eu me
01624	QUEM É VOCÊ?	Alcione	Quem é você Que entra em ...
07232	RIO ANTIGO	Alcione	Quero o bate-papo na esquina
09337	SE NÃO É AMOR	Alcione	Se não é amor por que você...
03263	SUFOCO	Alcione	Não sei se vou aturar esses abusos não sei se
03270	TÔ COM SAUDADE	Alcione	Tô com saudade amor
06759	VOCÊ ME VIRA A CABEÇA	Alcione	Você me vira a cabeça me tira do sério
04079	ESTRANHA LOUCURA	Alcione - Alexandre Pires	Minha estranha loucura
15739	MESA DE BAR	Alcione - Gonzaguinha	Mesa de bar é lugar pra todo mundo que é
04196	GOSTOSO VENENO	Alcione-Djavan	Esse amor me envenena
02402	A COLHEITA	Alda Célia	Voz do que clama em meio...
07755	CHUVA DE AVIVAMENTO	Alda Célia	Nos últimos dias diz o Senhor
02462	MOSTRA-ME TUA GLÓRIA	Alda Célia	Santifica-me purifica-me Senhor
02426	ÓLEO DE ALEGRIA	Alda Célia	O Espírito de Deus...
02428	PODER DA ORAÇÃO	Alda Célia	Eu creio no poder...
07875	SOPRA ESPÍRITO DE DEUS	Alda Célia	Sopra dos quatro cantos Espírito...
02439	VOAR COMO A ÁGUIA	Alda Célia	É tempo de quebrar cadeias...
04105	CORAZÓN PARTÍO	Alejandro Sanz	Tiritas pa este corazón partío
20087	LOOKING FOR PARADISE	Alejandro Sanz - Alicia Keys	Oh oh oh... Driving in a fast car
02965	ALÉM DO VÉU	Alem do Véu	Procurei de muitas formas ale...
02980	FILHOS DE DEUS	Alem do Véu	Algo em nós nos torna diferentes
02424	NASCI PRA VENCER	Alem do Véu	Não posso deixar meu sonho...
09242	ALL FOR A REASON	Alessi Brothers	I know it's late and I'm a little drunk but I
20344	FOREVER	Alessi Brothers	Don´t explain yourself doesn´t matter
20377	SAD SONGS	Alessi Brothers	It`s early in the morning
20500	WHEN I´M GONE	Alesso - Katy Perry	When I`m gone I`m never really gone
16235	SEXTA FEIRA SUA LINDA	Alex e Ronaldo	Fim de semana comecou
01077	EU SOU MAIS VOCÊ	Alexandre Peixe	Ô ô... ô ô ô ô... Não quero ficar tentando dizer
09569	VOCÊ VAI PIRAR	Alexandre Peixe	Você vai pirar vai enlouquecer vou te encher
09575	A DEUS EU PEÇO	Alexandre Pires	Que a menina dos meus olhos nunca venha
06443	A MUSA DAS MINHAS CANÇÕES	Alexandre Pires	No palco de um pequeno bar eu nunca imaginei
06649	BUM, BUM, BUM	Alexandre Pires	Amiga olha só como mudou ...
01210	CIGANO	Alexandre Pires	Era lindo o nosso amor a história de nós
06816	COISA DO DESTINO	Alexandre Pires	Isso é coisa do destino eu ...
01073	DESSA VEZ EU ME RENDO	Alexandre Pires	Dizem que amor não mata mas judia da
06251	É POR AMOR	Alexandre Pires	A noite de lua cheia é quase imprescindível
01786	ERRO MEU	Alexandre Pires	Se o amor bater deixa entrar
07603	EU TIRO A SUA ROUPA	Alexandre Pires	Às vezes em silêncios a emoção
01558	LEVE TUDO COM VOCÊ	Alexandre Pires	Como pude mentir o meu bem eu traí
01532	MULHER DAS ESTRELAS	Alexandre Pires	Ela canta demais ela sabe o que diz
06302	NECESSIDADE	Alexandre Pires	Beijar tua boca é a minha aventura
15834	QUEM É VOCÊ	Alexandre Pires	Eu descobri quem você é posso estar equivocado mas
07696	SE ELA ME AMASSE	Alexandre Pires	Se ela me amasse a lua com o sol se
07697	SEM TEU AMOR NADA É IGUAL	Alexandre Pires	Me pego remexendo em suas coisas
02877	SISSI	Alexandre Pires	Laiá laiá laiá... Ai que dede ...
01472	SÓ POR UM MOMENTO	Alexandre Pires	Olha aqui, não fique esperando
06988	TIRA ELA DE MIM	Alexandre Pires	Tira a lembrança que ela deixou
06640	VEM ME AMAR (AMAME)	Alexandre Pires	Vem aqui doce amor me ajuda a mudar esse
06198	USTED SE ME LLEVÓ LA VIDA	Alexandre Pires	Usted se me llevó la vida
17047	ESTRELA CADENTE (HUNTING HIGH AND LOW)	Alexandre Pires - Ivete Sangalo	Dia noite e ceu
15408	EU SOU O SAMBA	Alexandre Pires - Seu Jorge	Coisa linda muito prazer hoje você vai
01106	CHEGUEI TARDE DEMAIS	Alexandre Pires-Daniel	Não faz não quer não vem não fala nada
06764	AO SENTIR O AMOR	Alexandre Pires-Fat Family	A sensação de ver você chegar sinto as
09655	DELÍRIOS DE AMOR	Alexandre Pires-Revelação	Me lembro o dia que cheguei naquela festa
15446	ÁGUAS PASSADAS	Aliados	Deixa rolar deixa fluir só não deixe de
15455	ESPERANÇA	Aliados	Enquanto ela estiver aqui ainda haverá o
01153	SORRINDO	Aliados	Ontem um sonho acabou
19699	HOW YOU GONNA SEE ME NOW	Alice Cooper	Dear Darlin' surprised to hear from me
02526	I NEVER CRY	Alice Cooper	If there's a tear on my face
09144	NO MORE MR. NICE GUY	Alice Cooper	I used to be such a sweet sweet thing
20302	MAN IN THE BOX	Alice in Chains	I`m the man in the box buried in my shit
19846	I LOVE THE NIGHTLIFE	Alicia Bridges	Please don t talk about love tonight
20254	EMPIRE STATE OF MIND (PART II) BROKEN DOWN	Alicia Keys	Oooh oh oh New York
04890	FALLIN'	Alicia Keys	I keep on fallin' in and out love with
19207	GIRL ON FIRE	Alicia Keys	She's just a girl and she's...
19529	IF I AIN'T GOT YOU	Alicia Keys	Some people live for the fortune
02568	NO ONE	Alicia Keys	I just want you close
04966	SMOOTH CRIMINAL	Alien Ant Farm	Ough! As he came into the window
02964	ÁGUAS DO TRONO	Aline Barros	Águas que fluem do coração
02948	AO ÚNICO	Aline Barros	Ao Único que é digno de receber
02967	APAIXONADO	Aline Barros	Você mudou meu jeito de pensar
02413	CARPINTEIRO	Aline Barros	Um carpinteiro um homem...
05605	CONSAGRAÇÃO	Aline Barros	Ao Rei dos Reis consagro tudo o que
02450	DANÇA DO PINGUIM	Aline Barros	É assim assim
05606	DEUS DO IMPOSSÍVEL	Aline Barros	O meu Deus é o Deus do impossível
15488	DEUS EXTRAORDINÁRIO	Aline Barros	Em toda história não se ouviu falar de um
07771	DIGNO É O SENHOR	Aline Barros	Graças eu te dou Pai pelo preço que pagou
05610	FICO FELIZ	Aline Barros	U u u u... Fico feliz em vir em tua casa
02455	HOMENZINHO TORTO	Aline Barros	Havia um homenzinho torto
05615	JESUS CRISTO MUDOU MEU VIVER	Aline Barros	U ei ê... Jesus Cristo mudou meu viver
05616	JESUS FAZ PARTE	Aline Barros	É eu pude crer e ver o Seu ...
02429	PODER PRA SALVAR	Aline Barros	Todos necessitam de um...
02465	PULA-PULA	Aline Barros	Hoje é dia de brincar pular dançar
09527	RECOMEÇAR	Aline Barros	Pai tá difícil manter o caminho tenho andado
02468	REI MEU	Aline Barros	Toda Terra está cheia da tua glória
02469	RENDIDO ESTOU	Aline Barros	Toma-me rendido estou
07866	RENOVA-ME SENHOR	Aline Barros	Renova-me renova-me renova-me Senhor
01809	RESSUSCITA-ME	Aline Barros	Mestre eu preciso de um milagre
02499	SANTIDADE	Aline Barros	O meu melhor quero Te dar
01878	SONDA-ME, USA-ME	Aline Barros	Sonda-me Senhor e me conhece
02438	VENTO DO ESPÍRITO	Aline Barros	O vento sopra...
02867	FLOR MORENA	Aline Calixto	Flor morena que manda no meu coração
15650	COMPLICAMOS DEMAIS	Alinne Rosa	Se eu fechar meus olhos posso te ver
01388	NÃO SOU SEU BRINQUEDO	Alisson e Ryan	Pára dá um tempo vê se larga do meu
04669	I SWEAR	All-4-One	I swear by the moon and
19231	SLEEP	Allen Stone	Spend my nights howlin
16189	MEL NA BOCA	Almir Guinéto	Ohhh quanta mentira suportei
03877	FUSCÃO PRETO	Almir Rogério	Me disseram que ela foi vista com outro
01508	MOTOQUEIRO	Almir Rogério	Tudo certo para o nosso casamento
01425	HORA DO CLARÃO	Almir Sater	Ana Raio e Zé Trovão diz a
09509	PEÃO	Almir Sater	Diga você me conhece eu já ...
02939	TRAVESSIA DO ARAGUAIA	Almir Sater	Naquele estradão deserto uma boiada
04379	UM VIOLEIRO TOCA	Almir Sater	Quando uma estrela cai no escurão da
09559	VARANDAS	Almir Sater	A noite é um mistério que eu finjo compreender
19820	HEAR ME NOW	Alok - Bruno Martini - Zeeba	If you get to hear me now
20199	TABLE FOR 2	Alok - IRO	You don t need a million reasons
19857	BIG JET PLANE	Alok - Mathieu Koss	Hello mister pleased to meet you
09245	BIG IN JAPAN	Alphaville	Winter's cityside crystal bits of snowflakes
02577	FOREVER YOUNG	Alphaville	Let's dance in style let's dance for
20507	SOUNDS LIKE A MELODY	Alphaville	It´s a trick of my mind two faces bathing in the
17055	ENTRA E SAI DE AMOR	Altay Veloso	Baby a emocão me trouxe aqui
07045	A PRETENDIDA	Altemar Dutra	Reclamas que te faltam meus carinhos
04465	BALADA TRISTE	Altemar Dutra	Balada triste Que me faz lembrar alguém
07072	BLOCO DA SOLIDÃO	Altemar Dutra	Laiá laiá... Angústia solidão ...
04067	BRIGAS	Altemar Dutra	Veja só que tolice nós dois
16090	COMO DESEJO TEU AMOR	Altemar Dutra	Como desejo teu amor quando me lembro
06608	CONTIGO APRENDI	Altemar Dutra	Contigo aprendi que existem coisas novas
03872	ESTÃO VOLTANDO AS FLORES	Altemar Dutra	Vê... Estão voltando as...
07128	EU SONHEI QUE TU ESTAVAS TÃO LINDA	Altemar Dutra	Eu sonhei que tu estavas tão linda
06496	MARIA HELENA	Altemar Dutra	Maria Helena és tu a minha ...
06422	MEU VELHO (MI VIEJO)	Altemar Dutra	É um bom tipo meu velho e anda só e
07181	MODINHA	Altemar Dutra	Olho a rosa na janela sonho um sonho
01610	MURMURA AO MAR	Altemar Dutra	Murmura o mar a derramar uma canção
03926	O TROVADOR	Altemar Dutra	Sonhei que eu era um dia um trovador
04130	QUE QUERES TU DE MIM?	Altemar Dutra	Que queres tu de mim? que fazes junto
03540	SENTIMENTAL DEMAIS	Altemar Dutra	Sentimental eu sou ...
06277	SOMOS IGUAIS	Altemar Dutra	Acabei de saber que você riu de mim
09349	TUDO DE MIM	Altemar Dutra	De que é feito afinal esse seu coração
07268	VAI ANDORINHA	Altemar Dutra	Ao ver passar no céu as andorinhas
01800	VELHA COMPANHEIRA	Altemar Dutra - Martha Mendonça	Não tenho ódio dentro do meu peito
01505	AQUI É O SEU LUGAR	Álvaro e Daniel	É pra você que eu mando flores todas as
05557	NÃO CHORE	Alvaro Tito	Tua vida em perigo, se envolver
05883	CHRISTMAS DON'T BE LATE	Alvin and The Chipmunks	Christmas Christmas time is near time for
04060	24 HORAS NO AR	Amado Batista	Pare de pensar em besteira
15562	AGORA OU NUNCA MAIS	Amado Batista	Sou um amor passageiro que
07496	AMANTES	Amado Batista	Já amanheceu e o tempo foi ...
