number	title	artist	lyrics
01267	PRA NÃO CHORAR	Edson e Hudson	Às vezes por impulso a gente fere tanto
15864	QUER NAMORAR COMIGO	Edson e Hudson	Quer namorar comigo balance a cabeça e diz que
09873	SAUDADE	Edson e Hudson	Saudade bate no peito ela vem pra machucar
17150	TA NO MEU CORACAO	Edson e Hudson	Vai passando o tempo horas que não voltam
09890	TE QUERO PRA MIM	Edson e Hudson	Chego em casa já é de manhã depois de uma
01011	IMPREVISÍVEL	Edson e Hudson - Bruno e Marrone	Como esquecer o seu olhar
09431	DE MAIS NINGUÉM	Edu Ribeiro	Se você quiser me ensinar como é que se faz
07382	ME NAMORA	Edu Ribeiro	Lembro que te vi caminhar já vi o brilho no
02746	O SOL, A LIS E O BEIJA-FLOR	Edu Ribeiro	Tchururururu... Flor de lis não vá dizer
05584	SÓ DEUS PODE AMAR-TE MAIS	Eduardo Andrade	Pedi a Deus alguém pra mim
03186	O BOM	Eduardo Araújo	Meu carro é vermelho
03242	RUA AUGUSTA	Eduardo Araújo	Entrei na Rua Augusta a cento e vinte
01401	A CARTA	Eduardo Costa	Estou escrevendo esta carta meio aos
01501	ACABOU O AMOR	Eduardo Costa	Olha estou tentando entender
16801	AINDA TO AI	Eduardo Costa	Pensava em voce vivia voce
09610	AMOR DE VIOLEIRO	Eduardo Costa	Moça eu não sei falar coisas bonitas pra te
01503	AMORES IMORTAIS	Eduardo Costa	Amores imortais não é só na letra da
15165	ANJO PROTETOR	Eduardo Costa	Em meu peito sinto tudo fora de lugar
09626	CACHACEIRO	Eduardo Costa	Dizem que eu sou cachaceiro cachaceiro eu
01356	CANSEI DE SER PALHAÇO	Eduardo Costa	Brigou xingou me deixou jogando amor
01357	CENA DE UM FILME	Eduardo Costa	Eu amei um alguém que me amou
02790	COMIGO A FILA ANDA	Eduardo Costa	Beber eu bebo chorar eu choro
09648	CORAÇÃO ABERTO	Eduardo Costa	A gente tem que conversar e por as coisas
15294	ENAMORADO	Eduardo Costa	Já não sei se é amor o que eu sinto no
09674	EU APOSTO	Eduardo Costa	Eu aposto a minha vida meu ...
09675	EU DUVIDO	Eduardo Costa	Você pode revirar o mundo e não vai achar
15338	LOUCO CORAÇÃO	Eduardo Costa	Ah ah ah...passou como um ...
07999	ME APAIXONEI	Eduardo Costa	A primeira vez que eu te vi pensei até que fosse
01014	MELHOR OU PIOR	Eduardo Costa	Vou caminhar por uma estrada
01432	NÃO VALEU PRA VOCÊ	Eduardo Costa	Não valeu pra você foi uma ...
16658	OLHA ELA AI	Eduardo Costa	Vi seu coracao de pedra virar de algo
15710	OS 10 MANDAMENTOS DO AMOR	Eduardo Costa	Os dez mandamentos do amor para conquistar
01229	PRESENTE DE DEUS	Eduardo Costa	Hoje quando parei pra pensar
01308	PRIMEIRO DE ABRIL	Eduardo Costa	Se eu bebi não foi por causa de você
16461	PRONTO FALEI	Eduardo Costa	Pegue suas coisas coloca na mala
15890	SAPEQUINHA	Eduardo Costa	Pensa num trem doido que...
01577	TÔ INDO EMBORA	Eduardo Costa	O que eu não tenho em casa ah eu encontro
01005	AMIGO	Eduardo Costa - Amado Batista	Amigo fica um pouco aqui comigo
01102	VOCÊ FOI ATRIZ	Eduardo Costa - Bruno e Marrone	Vou tentar te esquecer mas ...
01907	MEU GRITO DE AMOR	Eduardo Costa - Paula Fernandes	Me dei demais não fui capaz
01202	ALÔ, ALÔ BRASIL	Eduardo Dusek	Alô alô... quem fala é do Brasil
04119	AVENTURA (LUZ DE VELAS)	Eduardo Dusek	Oh, oh, oh... Vi seu olhar, seu olhar de festa
06167	BARRADOS NO BAILE	Eduardo Dusek	Uapa pararu rara... Ela num macacão de
07916	CABELOS NEGROS	Eduardo Dusek	Tchu-ru tchu... Eu quero seus cabelos negros
01814	CANTANDO NO BANHEIRO	Eduardo Dusek	Cantando no banheiro berrando no chuv
07342	DOMÉSTICA	Eduardo Dusek	Foi trabalhar recomendada pra ...
09465	GULA	Eduardo Dusek	Comer porque viver é se empapuçar engole
07396	NOSTRADAMUS	Eduardo Dusek	Naquela manhã eu acordei tarde de bode
06347	ROCK DA CACHORRA	Eduardo Dusek	Uau uau... Troque seu cachorro por uma
09542	TAMANHO NÃO É DOCUMENTO	Eduardo Dusek	Eu sou pequeno por fora mas grande por
04062	AI QUE SAUDADE D'OCÊ	Elba Ramalho	Não se admire se um dia um ...
07553	AMPLIDÃO	Elba Ramalho	Deixa eu te guardar a casa é sua
03555	BANHO DE CHEIRO	Elba Ramalho	Eu quero um banho de cheiro
03027	BATE CORAÇÃO	Elba Ramalho	Bate bate bate coração
07081	CANÇÃO DA DESPEDIDA	Elba Ramalho	Já vou embora mas sei que vou voltar
03609	CHÃO DE GIZ	Elba Ramalho	Desço dessa solidão
03831	CIRANDA DA ROSA VERMELHA	Elba Ramalho	Teu beijo doce tem sabor do mel da
03413	CORAÇÃO DA GENTE	Elba Ramalho	Morena que dança num mar de alegria
03320	DE VOLTA PRO ACONCHEGO	Elba Ramalho	Estou de volta pro meu aconchego
03064	DO JEITO QUE A GENTE GOSTA	Elba Ramalho	Cai cai morena no fuá que ainda é ce
01216	É SÓ VOCÊ QUERER	Elba Ramalho	O meu amor é seu é só você ...
06095	ENTRE O CÉU E O MAR	Elba Ramalho	Quantos labirintos tem meu ...
06914	ESTRADA DO SERTÃO	Elba Ramalho	Coisa que não arrenego nem ...
03106	FOLIA BRASILEIRA	Elba Ramalho	Tem que ter molejo meu bem
03121	JOGO DE CINTURA	Elba Ramalho	Você tem que ter jogo de cintura
15258	MINHA VIDA É TE AMAR	Elba Ramalho	Minha lua é tua estrada minha ...
06867	O MEU AMOR	Elba Ramalho	O meu amor tem um jeito manso que é só seu
01470	SETE CANTIGAS PARA VOAR	Elba Ramalho	Cantiga de campo de concentração
07261	TOQUE DE FOLE	Elba Ramalho	Toque sanfoneiro um forró bem animado
06752	TAXI LUNAR	Elba-Zé Ramalho-Alceu-Zé Geraldo	Ela me deu o seu amor eu tomei
06043	A FORÇA DO MESTRE	Eliana	Para ser um grande mestre Pokémon
04332	PRIMAVERA	Eliana	Respiramos alegria é a primavera
07060	APENAS MATRIZ	Eliana de Lima	Você diz que eu te faço infeliz
03466	DESEJO DE AMAR	Eliana de Lima	Foi sem querer que derramei toda emoção
07343	DRINK DO AMOR	Eliana de Lima	Olá você não sabe como é bom te ver
04131	QUERO FICAR COM VOCÊ	Eliana de Lima	Ah!... Os meus olhos querem
03388	SAUDADE DANADA	Eliana de Lima	Como dói a solidão preciso ...
03295	VOLTA PRA ELA	Eliana de Lima	Quando você chegou em mim
04073	DIA DE ALEGRIA	Eliana e Molejo	Lala laia laia laiala... Hoje ...
02953	METADE DE MIM	Eliane de Jesus	Quando dois corações se encontram
17156	LINDA BELA	Elias Monkbel - Caio Costta	Tudo parecia mas não era um sonho
02675	FLOR DE MAIO	Elias Muniz	Você é a flor mais pura o amor
03006	ÁGUAS DE MARÇO	Elis Regina	É pau é pedra é o fim do cami...
04063	ALÔ, ALÔ MARCIANO	Elis Regina	Alô, alô marciano ...
09384	ALTOS E BAIXOS	Elis Regina	Foi quem sabe esse disco esse ...
09615	AOS NOSSOS FILHOS	Elis Regina	Perdoem a cara amarrada perdoem a falta de
06525	APRENDENDO A JOGAR	Elis Regina	Vivendo e aprendendo a jogar... Nem sempre
01842	ARRASTÃO	Elis Regina	Ê tem jangada no mar ...
01833	AS APARÊNCIAS ENGANAM	Elis Regina	As aparências enganam ...
04425	ATRÁS DA PORTA	Elis Regina	Quando olhaste bem Nos olhos meus
01845	BALA COM BALA	Elis Regina	A sala cala o jornal prepara
07069	BASTA DE CLAMARES INOCÊNCIA	Elis Regina	Basta de clamares inocência eu sei todo o mal
16024	BLACK IS BEAUTIFUL	Elis Regina	Hoje cedo na rua do Ouvidor
07911	BOA NOITE AMOR	Elis Regina	Boa noite amor meu grande ...
07078	CAI DENTRO	Elis Regina	Até que eu vou gostar se de repente combina
06051	CARTOMANTE	Elis Regina	Nos dias de hoje é bom que ...
01871	CAXANGÁ	Elis Regina	Sempre no coração ...
07087	CHOVENDO NA ROSEIRA	Elis Regina	Olha está chovendo na roseira
03611	COMO NOSSOS PAIS	Elis Regina	Não quero lhe falar meu grande amor
01887	CORRIDA DE JANGADA	Elis Regina	Meu mestre deu a partida
03067	DOIS PRA LÁ DOIS PRA CÁ	Elis Regina	Sentindo frio em minha'lma
06852	É COM ESSE QUE EU VOU	Elis Regina	É com esse que eu vou sambar até cair
03471	FASCINAÇÃO	Elis Regina	Os sonhos mais lindos sonhei
01857	LAPINHA	Elis Regina	Quando eu morrer me enterre na Lapinha
03131	MADALENA	Elis Regina	Oh Madalena o meu peito percebeu que o mar
03432	ME DEIXAS LOUCA	Elis Regina	Quando caminho pela rua lado à lado
06578	NADA SERÁ COMO ANTES	Elis Regina	Eu já estou com o pé nessa estrada
03183	O BÊBADO E A EQUILIBRISTA	Elis Regina	Caía a tarde feito um viaduto...
01924	O CAVALEIRO E OS MOINHOS	Elis Regina	Acreditar na existência dourada
04326	O MESTRE-SALA DOS MARES	Elis Regina	Há muito tempo nas águas da Guanabara
06470	O QUE FOI FEITO DEVERÁ	Elis Regina	O que foi feito amigo de tudo ...
01926	O RANCHO DA GOIABADA	Elis Regina	Os bóias frias quando tomam
16546	ONZE FITAS	Elis Regina	Por engano vinganca ou cortesia
01918	QUERO	Elis Regina	Quero ver o sol atrás do muro
15995	REDESCOBRIR	Elis Regina	Como se fora brincadeira de roda
03240	ROMARIA	Elis Regina	É de sonho e de pó o destino de um só
01948	SABIÁ	Elis Regina	Vou voltar sei que ainda vou voltar
01956	TRANSVERSAL DO TEMPO	Elis Regina	As coisas que eu sei de mim
03275	TRISTE	Elis Regina	Triste é viver na solidão
04415	UPA NEGUINHO	Elis Regina	Upa neguinho na estrada upa pra lá e
04219	VELHA ROUPA COLORIDA	Elis Regina	Você não sente, não vê
01320	VOU DEITAR E ROLAR	Elis Regina	Não venha querer se consolar
01933	GRACIAS A LA VIDA	Elis Regina	Gracias a la vida que me ha dado
06511	SÓ TINHA QUE SER COM VOCÊ	Elis Regina - Tom Jobim	É só eu sei quanto amor eu ...
02871	PERTINHO DE VOCÊ	Elizângela	Uh uh uh ... Pertinho de você ...
01205	CANÇÃO DA VOLTA	Elizeth Cardoso	Nunca mais vou fazer o que ...
16357	EU BEBO SIM	Elizeth Cardoso	Eu bebo sim estou vivendo
01278	ÚLTIMA FORMA	Elizeth Cardoso	É como eu falei não ia durar
19425	BURN	Ellie Goulding	We we don't have to worry 'bout nothing
19211	HOW LONG WILL I LOVE YOU	Ellie Goulding	How long will I love you
19344	LOVE ME LIKE YOU DO	Ellie Goulding	You're the light you're the night
03265	TALISMÃ	Elson	Sabe quanto tempo eu não te vejo
04687	BENNIE AND THE JETS	Elton John	Hey kids shake it loose together the spot
